country,country_code,government
Algeria,DZA,semi-presidential unitary republic
Angola,AGO,presidential unitary republic
Benin,BEN,presidential unitary republic
Botswana,BWA,parliamentary unitary republic
Burkina Faso,BFA,presidential unitary republic
Burundi,BDI,presidential unitary republic
Cabo Verde,CPV,parliamentary unitary republic
Cameroon,CMR,presidential unitary republic
Central African Republic,CAF,presidential unitary republic
Chad,TCD,presidential unitary republic
Comoros,COM,presidential federal republic
Democratic Republic of the Congo,COD,semi-presidential unitary republic
Djibouti,DJI,presidential unitary republic
Egypt,EGY,semi-presidential unitary republic
Equatorial Guinea,GNQ,presidential unitary republic
Eritrea,ERI,presidential unitary republic
Ethiopia,ETH,semi-presidential federal republic
Gabon,GAB,presidential unitary republic
Gambia,GMB,presidential unitary republic
Ghana,GHA,presidential unitary republic
Guinea,GIN,presidential unitary republic
Guinea-Bissau,GNB,semi-presidential unitary republic
Ivory Coast,CIV,presidential unitary republic
Kenya,KEN,presidential unitary republic
Lesotho,LSO,parliamentary unitary constitutional monarchy
Liberia,LBR,presidential unitary republic
Libya,LBY,parliamentary republic
Madagascar,MDG,semi-presidential devolved republic
Malawi,MWI,presidential unitary republic
Mali,MLI,presidential unitary republic
Mauritania,MRT,semi-presidential republic
Mauritius,MUS,semi-presidential unitary republic
Morocco,MAR,parliamentary unitary constitutional monarchy
Mozambique,MOZ,presidential unitary republic
Namibia,NAM,presidential unitary republic
Niger,NER,semi-presidential unitary republic
Nigeria,NGA,presidential unitary federation
Republic of the Congo,COG,presidential unitary republic
Rwanda,RWA,presidential unitary republic
Sahrawi Republic,,semi-presidential unitary republic
Sao Tome and Principe,STP,semi-presidential unitary republic
Senegal,SEN,presidential unitary republic
Seychelles,SYC,presidential unitary republic
Sierra Leone,SLE,presidential unitary republic
Somalia,SOM,semi-presidential federal republic
South Africa,ZAF,semi-presidential unitary republic
South Sudan,SSD,presidential federal republic
Sudan,SDN,presidential federal republic
Tanzania,TZA,presidential federal republic
Togo,TGO,presidential unitary republic
Tunisia,TUN,presidential unitary republic
Uganda,UGA,presidential unitary republic
Zambia,ZMB,presidential unitary republic
Zimbabwe,ZWE,presidential unitary republic
