Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3735199,108.8868027,110.3496704,115.6694489,115.9850006,117.2171707,116.929039,117.9877396,116.9700394,116.0139008,117.5274811,119.7958374,106.3740387,104.0749435,114.98532,116.2619922,115.0114087,113.6374637,,107.9851685,108.0250015,107.2353363,108.5995102,102.6207275,,107.7169969,
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,61.91255951,58.69868088,59.44773102,60.60626984,64.00022888,66.27275085,67.75460052,69.59165955,70.67649078,73.4606781,76.49694824,78.20307159,78.61287689,78.33229065,77.47357941,75.09448242,74.73731232,73.19207001,72.7201767,74.40065765,72.18522644,73.73309326,72.36502075,73.05941772,73.05422974,74.8263092,74.57855988,77.69538116,77.99616241,76.95970154,78.76281738,81.48487091,83.90982056,87.5231781,89.62819672,92.89392853,95.3214798,98.47660828,102.1464996,101.7046432,101.0054016,100.9852371,101.2401123,100.5291901,100.9301529,99.69753265,100.3421097,101.2284088,102.6248093,103.6106186,104.5919418,103.3660812,100.5083008,100.8575897,101.3092422,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,31.65142059,32.53971863,32.96287155,33.42451859,33.96281052,34.88248825,35.72822952,36.46279907,37.68218994,,43.81010818,49.45978928,20.13608932,,24.64843941,25.13636017,26.68324089,,34.07814026,31.83338928,30.98303986,31.60502052,,33.95524979,44.78884125,47.6614418,,,32.98432922,26.29052925,21.4578495,22.13965034,73.40131378,95.33574677,105.4750519,99.50390625,102.2848663,99.32289886,104.445137,99.70542145,103.4856033,101.5420837,106.5753174,107.9428406,109.8294525,106.7735519,106.7840424,106.543541,107.6876602,109.0753098,,,,112.2309036,,
Africa Western and Central,AFW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,43.07265091,44.67073059,46.64160919,48.10771942,48.21498108,48.66048813,49.16127014,54.84928894,62.75759125,69.68128967,72.74871063,76.71179199,81.48737335,81.65168762,80.76165009,78.29721069,72.14105225,70.62589264,68.95510101,68.19965363,69.51519775,69.67133331,71.48291779,73.71672821,74.12052917,72.75335693,68.13469696,71.77352142,74.61438751,77.4401474,80.57951355,81.11579132,82.83840942,83.58367157,85.46858978,86.37898254,87.10626221,84.38523865,81.99085999,83.71955109,84.47846985,87.82200623,89.43965149,90.58975983,89.12069702,87.09661865,86.69799042,86.78253937,86.65235138,87.55555725,88.15762329,88.09485626,89.50192261,90.8780365,91.06098938,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,62.55418015,67.91168976,70.03990173,75.95117188,,,,,,159.8102112,142.361496,133.3821411,120.5005188,105.0863571,82.78462982,89.22267151,89.11580658,87.21972656,86.70516968,81.08577728,73.89943695,70.75537872,,,,,,76.63440704,,,,,,,,,106.3414536,113.2922363,112.2789536,113.8725817,128.3863449,,,,120.5802765,,,,,,89.22660947,,86.73539188,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,113.5455399,,109.9656906,108.2179794,104.2436066,102.3520508,101.3010101,100.6983337,101.6966324,101.4074097,101.7681427,100.8979874,99.82990265,99.37509155,99.64820862,100.5465088,98.25576019,97.58873749,100.8047791,102.85849,105.0447769,106.6322021,106.591507,107.2966309,108.392868,109.2000504,110.3389206,107.598259,104.1317215,107.0161438,105.4777832,103.4884415,100.3830032,100.9237366,99.86183427,101.5802737,102.0673609,101.4749548,105.7705818,105.688653,105.3247774,105.4149709,104.5680153,102.5895412,100.02097,97.10750383,96.37122993,93.71381201,111.5116501,
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,99.54441833,,,,,,,,103.1978531,,,,,,,,,,,,,,,,,,,100.1462708,102.0699921,99.00163269,89.72106171,90.02494049,88.18724823,86.71814728,84.71880341,84.64819336,85.89562988,83.21579742,84.73235321,87.02633269,88.59574468,91.04157737,90.20313161,90.70889262,90.32392894,89.42712721,89.73799127,90.46568087,97.4446726,99.85795455,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,74.42700195,69.90181732,71.22444153,72.337883,72.79943848,74.27696991,75.75068665,76.43572235,76.82692719,69.80332947,79.13700104,78.96666718,79.61248016,80.21637726,80.97933197,80.8155365,81.51574707,82.4447937,83.11193848,83.05808258,84.04871368,84.73719788,82.1964798,82.70368195,85.02236176,83.72873688,85.7543335,86.55621338,86.87442017,87.72442627,88.10325623,88.60691071,89.50315857,90.32688141,90.5332489,90.23719025,91.52581787,91.22518921,91.46369171,91.37901306,91.69545746,90.81111908,92.14557648,88.68621063,87.7741394,87.7070694,87.86869812,88.27211761,88.76145935,89.05793762,89.6436615,89.50694275,88.10424042,91.05358124,91.56407166,
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,68.63227844,74.60172272,79.58193207,81.77001953,82.77571869,93.62973022,98.1911087,97.55310059,94.15936279,91.82614136,88.28504944,95.0255127,96.24738312,95.97910309,93.97071838,93.40844727,92.60816193,94.44104004,98.41143799,102.339447,103.9608536,100.7273865,99.32401276,101.0369873,102.9130783,100.3048477,96.92176819,97.9887619,102.4509964,119.7553482,122.8699799,118.7754288,117.2596512,110.6941223,105.7199097,100.2580719,,,,,,,,,,,,105.6753581,107.533197,108.0698039,106.6528349,107.2874315,106.2599503,108.0444206,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.2267609,106.1377182,105.9211121,105.9677429,106.9288177,106.5973587,106.3264465,107.2136612,106.6206207,106.7730865,106.5726318,107.0815964,107.5727081,,106.7924881,107.5497284,109.1867218,109.7913513,110.0743103,,107.3061829,108.6084595,,,111.17202,,111.6439896,108.6799774,113.2142563,115.8908234,116.5582962,116.7493362,116.8779831,114.3753204,115.4460907,114.58078,116.187851,117.2363129,118.3201294,118.2933121,118.1281967,117.3728333,116.4364395,114.4213486,113.8735199,112.9366531,111.6546478,109.8796692,109.3054581,109.3382187,108.5046234,108.1396179,106.7598267,102.535244,,
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5984726,97.80465698,97.22293854,87.24118042,81.29097748,81.19082642,110.7369385,110.9538193,117.9482574,90.63471985,100.956871,100.2754898,102.0861282,102.1512909,100.4091797,103.896698,116.7522507,117.7014389,113.7827225,100.9858666,98.33490373,97.08812744,95.87429273,94.41776035,93.08805914,93.11080035,93.09899578,92.13450082,92.32282405,92.86926181,94.63922038,96.94542966,98.08998782,101.9905544,
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,98.15164948,97.05090332,99.84802246,102.7673264,100.6269608,99.1244812,99.14929962,99.83177185,100.7165527,95.05042267,89.90763092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,72.2193222,90.21160126,,90.48809814,91.18112946,99.86789703,101.4786606,99.71534729,98.88256836,,,,,137.2936554,,,,,,,,104.4601669,,,117.2093506,,,,,135.1421509,,,,,,,116.4468994,118.4995422,117.9374466,120.1836777,117.1993103,113.6195679,113.2459162,112.4599228,110.3965836,107.4326553,109.7429123,112.7408371,112.8475769,,,121.5632068,112.2554068,,
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5835419,101.4394073,102.5345078,102.8547592,103.302063,103.3979111,103.562561,105.4229813,105.2446289,105.2156296,105.4885025,105.2748795,105.6697235,105.8025818,105.4616013,101.6654892,101.180687,100.6376572,100.3987122,100.1996994,99.90110779,99.92915344,99.13298798,99.36575317,99.60710144,
Austria,AUT,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4710236,102.8107224,102.3844376,102.7364197,102.0874863,102.3108978,102.7716599,102.2662735,101.3613129,100.8355408,100.5583267,100.3351135,100.7460785,100.9703217,101.104393,100.4280777,101.1045685,101.3703003,101.7762909,101.5608521,101.6441193,100.7756271,100.9028702,101.3088989,
Azerbaijan,AZE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.20748901,98.86100006,98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76230317,95.57363224,97.95530735,100.5004478,106.0598859,106.6014944,106.4317394,103.2941,99.72210142,97.93535033,98.23607139,97.7305001,99.80829772,101.9796988,105.625024,
Burundi,BDI,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,27.90254021,26.96557045,23.57423973,21.3160305,21.16864014,20.64182091,20.3434906,21.43202019,21.41087914,22.89502907,24.66337013,28.4392395,34.85649872,39.57575989,43.89588165,47.98807907,54.01303864,61.16122055,62.25637054,62.58589172,63.76480103,61.28918839,61.19281006,,47.97404861,37.98249054,39.92623138,48.11207962,57.24459076,59.23683167,61.9382515,68.63799286,74.17696381,79.25543976,84.50359344,107.5971222,120.352417,123.7688522,131.4008331,135.1597348,135.9922222,131.3571421,126.1102403,121.4241096,116.2281281,112.4821242,107.5541801,104.2564453,101.5061225,101.6610873,,,,,100.6275482
Belgium,BEL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4266968,103.6053314,103.7769394,103.0394211,103.112442,102.7934036,102.4513016,102.2657318,102.2594604,102.2368088,101.2698898,101.5203629,103.1910629,103.1048737,102.2438278,102.0558624,102.752861,102.5003662,102.1485596,102.06427,101.8211365,102.1769867,102.1080093,,
